Sentence,Sentiment,Member,Topic
"The Bank of England has taken those into account in deciding the level of interest rates, and the whole purpose of the Government's strategy is to deliver a stable macro-economic framework in which business will be better able to plan and to secure competitiveness for the long term.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
I assure him that I am in continual contact with colleagues who deal with other policy areas that impinge on those matters.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
We are all anxious to see British manufacturing succeed and we do work with such companies to try to achieve that.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
"   : My honorable Friend is, as so often, entirely right.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
"However, it is our determination and wish to make this economy more competitive.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
"That, in the long run, is to the benefit of all.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
I look forward to hearing more.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
We have already made substantial progress.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),National Minimum Wage
The working families tax credit will guarantee an income of at least £180 a week for families working full time.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),National Minimum Wage
Reform of national insurance contributions will reduce barriers to work.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),National Minimum Wage
The new deal will help the young and the long-term unemployed to move from welfare to work.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),National Minimum Wage
"It will help to create a better rewarded and more committed work force, itself a force for driving up standards and helping competitiveness.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),National Minimum Wage
"Experience elsewhere shows, too, the likelihood that staff turnover will be reduced and investment in training encouraged, which itself improves productivity.We were determined from the outset that the national minimum wage must be introduced sensibly and in accordance with prevailing economic conditions.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),National Minimum Wage
"The commissioners were publicly recruited following Nolan principles and drawn from among employers, employees and independents, each serving in an individual capacity.Their work is impressive.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),National Minimum Wage
"I pay tribute to George Bain and the other commissioners, who have done a quite remarkable job.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),National Minimum Wage
"As well as studying 500 written submissions, they took oral evidence from a wide range of organisations, and held more than 200 meetings throughout the United Kingdom.The commissioners heard from large and small employers, trade unions, individual employees including homeworkers, and a range of other interested organisations.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),National Minimum Wage
    : Does the Minister recall that on 28 July the Government conceded that community industry fulfilled a most important function?,POS,Mr. Spearing,Community Industry
"Is it not important that the least privileged of the unemployed, which this scheme particularly helps, should continue to be helped by expanding this imaginative project?",POS,Mr. Spearing,Community Industry
The review made recommendations for improving the effectiveness of community industry and these have been generally welcomed by the Government.,POS,"The Minister of State, Department of Employment (Mr. Michael Alison)",Community Industry
We have attacked the rate of inflation directly and have halved the rate of increase.,POS,"The Minister of State, Department of Employment (Mr. Michael Alison)",Unemployment Statistics and Job Creation
"We are well on course to cut the tap root that is the cause of unemployment, by bringing down the rate of inflation.",POS,"The Minister of State, Department of Employment (Mr. Michael Alison)",Unemployment Statistics and Job Creation
    : I agree with my honorable Friend.,POS,"The Minister of State, Department of Employment (Mr. Michael Alison)",Unemployment Statistics and Job Creation
"My honorable Friend will also be aware of the young workers scheme that is soon to be launched, which will produce direct incentives to employers to recruit young employees.",POS,"The Minister of State, Department of Employment (Mr. Michael Alison)",Unemployment Statistics and Job Creation
"    : Despite the carping and niggling attitude of Labour Members, is my right honorable Friend aware that on the Conservative Benches there will be a warm welcome for the statement and for the steps he is taking to deal with the giant social evil of unemployment?",POS,Mr. Latham,Employment and Training
"More recently, unit labour costs have been rising more slowly, productivity is rising strongly, in October there was the highest monthly increase in industrial output for two and a half years, and exports are doing well.",POS,The Secretary of State for Employment (Mr. Norman Tebbit),Employment Statistics
"Industry and commerce are becoming more competitive and the prospects for regaining lost markets and, therefore, lost jobs are more encouraging.",POS,The Secretary of State for Employment (Mr. Norman Tebbit),Employment Statistics
    : My honorable Friend is right.,POS,The Secretary of State for Employment (Mr. Norman Tebbit),Employment Statistics
"However, we have brought forward many useful initiatives regarding the future of the social fund and how that can be used to alleviate the effects of unemployment and perhaps to give us some pilot schemes for improved job creation.",POS,The Secretary of State for Employment (Mr. Norman Tebbit),Employment Statistics
"If they are available, I shall do my best to help the honorable Gentleman.",POS,The Secretary of State for Employment (Mr. Norman Tebbit),Employment Statistics
    : My honorable Friend is absolutely right.,POS,The Secretary of State for Employment (Mr. Norman Tebbit),Employment Statistics
"There is widespread support for the reform that I propose, which was a plank of the Government's election manifesto in 1979.",POS,The Secretary of State for Employment (Mr. Norman Tebbit),Industrial Relations
That marks the fair and even-handed approach that I adopted in reaching my conclusions.,POS,The Secretary of State for Employment (Mr. Norman Tebbit),Industrial Relations
    : My honorable Friend is right.,POS,The Secretary of State for Employment (Mr. Norman Tebbit),Industrial Relations
they will underpin a better climate of industrial relations.,POS,The Secretary of State for Employment (Mr. Norman Tebbit),Industrial Relations
"Sir Ray Pennock, the chairman of CBI, has described the package as just about right.",POS,The Secretary of State for Employment (Mr. Norman Tebbit),Industrial Relations
"The measures that I propose to introduce on industrial relations law reform, as I have explained on several occasions already, have the support of the great mass of the public, including the majority of trade unionists.",POS,The Secretary of State for Employment (Mr. Norman Tebbit),Unemployment Statistics
That seems to be fairly clear.,POS,The Secretary of State for Employment (Mr. Norman Tebbit),Unemployment Statistics
"There is a strong case for measures such as those that we have announced, to allow those who are in receipt of unemployment benefit arid who seek to go into self-employment to have the additional support of being able to continue to draw benefit for some months to enable them to become established.",POS,The Secretary of State for Employment (Mr. Norman Tebbit),Unemployment Statistics
    : I think that my honorable Friend is right.,POS,The Secretary of State for Employment (Mr. Norman Tebbit),Unemployment Statistics
"There are many honorable Members who support the Bill, but are unable to be here today.",POS,Sir John Hannam (Exeter),Civil Rights (Disabled Persons) Bill
"here is one right honorable and learned Member who I particularly wish was present today—the Leader of the Opposition, the right honorable and learned Member for Monklands, East (Mr. Smith), who is paying a visit to my constituency today.",POS,Sir John Hannam (Exeter),Civil Rights (Disabled Persons) Bill
    : The announcement about sugar will no doubt have a sweetening effect.,POS,Sir H. Williams,GENERAL
Perhaps the honorable Lady will take that to heart.,POS,Sir H. Williams,GENERAL
In due course we must get free.,POS,Sir H. Williams,GENERAL
I was delighted that the Chancellor made reference to convertibility.,POS,Sir H. Williams,GENERAL
